"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2026-07-18","97.7","-2.59","5.89","Williams, Gavin",656811,668909,,"foul",,,,,6,,"R","L","R","CLE","PIT","S",,,2,1,2026,"-0.96","1.21",0.35110045724681815,2.4787060156708707,,,,1,6,"Top",,,,,,,10.175572926930867,-141.90716321899205,-6.416443944253972,-15.210841847794805,28.76200265060318,-14.496466399233142,3.28933727,1.66003937,237,"75.3",27,"99.2",2304,"6.9",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.56",,,,,,,,42,4,"4-Seam Fastball",1,4,4,1,4,1,4,1,"Infield shade","Standard",223,"0.002","-0.076","71.1","6.7",,,"0.076","88.0",-3,3,0.147,0.853,26,32,27,33,3,2,9,6,,0,"1.17","0.96","-0.96","31.0",8.295973764496516,8.471548752475888,37.983800075775605,35.77715768951215,21.969445895420314
"SI","2026-07-18","96.5","-2.67","5.81","Williams, Gavin",656811,668909,,"ball",,,,,13,,"R","L","R","CLE","PIT","B",,,1,1,2026,"-1.2","0.76",-1.029445498562627,1.3452944598888144,,,,1,6,"Top",,,,,,,7.149674829972293,-140.31465377507655,-7.95880829868543,-17.37428779178742,27.392689729790472,-20.6503125716893,3.28933727,1.66003937,,,,"98.1",2105,"6.9",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.59",,,,,,,,42,3,"Sinker",1,4,4,1,4,1,4,1,"Infield shade","Standard",233,"-0.001","0.058",,,,,"-0.058",,-3,3,0.148,0.852,26,32,27,33,3,2,9,6,,0,"1.67","1.2","-1.2","31.0",,,,,
"CU","2026-07-18","82.3","-2.44","6.06","Williams, Gavin",656811,668909,,"foul",,,,,3,,"R","L","R","CLE","PIT","S",,,1,0,2026,"0.66","-1.15",0.6225709931180746,2.7980061210667158,,,,1,6,"Top",,,,,,,5.606239523531633,-119.69670108386802,1.6752339941830077,5.192782077773365,23.98484770672737,-43.75235264928666,3.28933727,1.66003937,194,"89.9",61,"82.9",2561,"6.8",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.67",,,,,,,,42,2,"Curveball",1,4,4,1,4,1,4,1,"Strategic","Standard",37,"0.001","-0.051","72.3","7.9",,,"0.051","89.9",-3,3,0.147,0.853,26,32,27,33,3,2,9,6,,0,"4.53","-0.66","0.66","39.3",26.255120895793073,-23.996000212825862,26.77722270051473,34.16988206276041,38.302957283417896
"FF","2026-07-18","97.9","-2.79","5.97","Williams, Gavin",656811,668909,,"ball",,,,,11,,"R","L","R","CLE","PIT","B",,,0,0,2026,"-0.8","1.07",-0.8740386369435589,3.5408121146971983,,,,1,6,"Top",,,,,,,7.056370935484028,-142.44192411149075,-3.4646129135445967,-12.465415248337509,30.392200042224903,-16.95552822356194,3.28933727,1.66003937,,,,"99.3",2339,"6.9",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.57",,,,,,,,42,1,"4-Seam Fastball",1,4,4,1,4,1,4,1,"Standard","Standard",220,"-0.001","0.043",,,,,"-0.043",,-3,3,0.148,0.852,26,32,27,33,3,2,9,6,,0,"1.29","0.8","-0.8","33.5",,,,,
"SI","2026-07-18","97.9","-2.63","5.8","Williams, Gavin",699013,668909,"home_run","hit_into_play",,,,,7,"Esmerlyn Valdez homers (11) on a fly ball to right center field. Bryan Reynolds scores.","R","R","R","CLE","PIT","X",,"fly_ball",0,2,2026,"-1.08","0.66",-0.4192304680641712,1.7317569244419713,,,668804,1,6,"Top",190.71,65.83,,,,,8.504744145924867,-142.33166203749076,-6.921917617687459,-16.46530860990242,28.235894088842922,-21.893332972994145,3.311277887,1.671112205,373,"101.6",37,"99.5",1722,"6.9",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.58",0.363,0.717,"2",1,0,3,5,41,3,"Sinker",1,2,2,1,4,1,4,1,"Standard","Standard",234,"-0.203","1.543","76.7","8.0",,1.375,"-1.543","101.6",-1,1,0.351,0.649,26,22,27,22,3,2,9,6,,0,"1.7","1.08","1.08","31.0",19.03740455227032,9.671520016549778,39.532619862670124,37.69674288710706,24.23202054545053
"CU","2026-07-18","81.2","-2.59","6.04","Williams, Gavin",699013,668909,,"foul",,,,,11,,"R","R","R","CLE","PIT","S",,,0,1,2026,"0.77","-1.01",-0.9055981788871965,2.5619931708298425,,,668804,1,6,"Top",,,,,,,2.238293821567409,-118.21524925816719,1.0640498453482616,6.7927839145757485,23.031625472330635,-42.0975509582564,3.311277887,1.671112205,85,"70.1",7,"82",2397,"6.9",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.63",,,,,,,,41,2,"Curveball",1,2,2,1,2,1,2,1,"Standard","Standard",32,"0.008","-0.056","71.4","7.9",,,"0.056","88.0",-1,1,0.343,0.657,26,22,27,22,3,2,9,6,,0,"4.47","-0.77","-0.77","39.0",17.88409633410763,-20.440535878065454,33.92654902715629,32.97473755416277,32.11668435906006
"SI","2026-07-18","96.8","-2.85","5.71","Williams, Gavin",699013,668909,,"foul",,,,,7,,"R","R","R","CLE","PIT","S",,,0,0,2026,"-1.35","0.67",-0.5366189738277141,1.91670516605082,,,668804,1,6,"Top",,,,,,,9.347238883517935,-140.64855139976302,-6.01787236297902,-19.918883506208,27.553805754758034,-22.152228343224962,3.311277887,1.671112205,234,"78.2",42,"98.6",1818,"7.1",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.43",,,,,,,,41,1,"Sinker",1,2,2,1,2,1,2,1,"Standard","Standard",238,"0.005","-0.041","73.2","7.7",,,"0.041","88.0",-1,1,0.338,0.6619999999999999,26,22,27,22,3,2,9,6,,0,"1.74","1.35","1.35","25.8",4.8335131739648975,10.265594291822266,39.485376441679534,36.51126099660645,19.930495769804494
"FF","2026-07-18","96.9","-2.7","5.71","Williams, Gavin",668804,668909,"single","hit_into_play",,,,,9,"Bryan Reynolds singles on a ground ball to center fielder Kahlil Watson.","R","L","R","CLE","PIT","X",8,"ground_ball",0,2,2026,"-1.04","1.16",0.5124328575657915,2.0528995725668455,,,,1,6,"Top",146.62,106.4,,,,,11.041998286910456,-140.6528256517758,-6.796592490047265,-16.27728571863473,30.52277286822047,-15.377997029892054,3.284071522,1.65738189,132,"79.3",9,"98.4",2271,"7.1",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.36",0.334,0.301,"0.9",1,1,0,4,40,3,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Infield shade","Standard",228,"-0.035","0.519","71.7","6.3",,0.359,"-0.519","88.0",-1,1,0.373,0.627,26,31,27,31,3,2,9,6,,0,"1.27","1.04","-1.04","29.8",-3.9061416747837656,11.778986521285624,45.41346825444261,28.25515560720668,18.4441248017174
"FF","2026-07-18","97.1","-2.72","5.91","Williams, Gavin",668804,668909,,"swinging_strike",,,,,11,,"R","L","R","CLE","PIT","S",,,0,1,2026,"-1","1.15",-0.44449547848740045,3.581323731234158,,,,1,6,"Top",,,,,,,8.439842782688913,-141.16245703086025,-3.2584074632649083,-15.182706462216293,29.917592598599086,-16.2228531448033,3.284071522,1.65738189,,,,"98.5",2304,"7",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.54",,,,,,,,40,2,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Standard","Standard",221,"0.005","-0.057","37.5","4.4","2.62456626",,"0.057",,-1,1,0.368,0.632,26,31,27,31,3,2,9,6,,0,"1.26","1","-1","32.3",-12.590685516202518,51.61854176624505,35.525279955779126,39.092594675514334,-8.472919000967412
"CU","2026-07-18","81.5","-2.59","6.26","Williams, Gavin",668804,668909,,"foul",,,,,7,,"R","L","R","CLE","PIT","S",,,0,0,2026,"0.67","-1.06",-0.36455314921966053,1.8537497691381781,,,,1,6,"Top",,,,,,,3.653184507887943,-118.6797227366491,-1.0152089240548947,5.693969362108847,22.224612902707722,-42.22469374364766,3.284071522,1.65738189,,,,"82.3",2419,"6.7",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.79",,,,,,,,40,1,"Curveball",1,2,2,1,2,1,2,1,"Standard","Standard",31,"0.003","-0.042","72.7","7.7",,,"0.042",,-1,1,0.365,0.635,26,31,27,31,3,2,9,6,,0,"4.48","-0.67","0.67","39.6",26.631738606509575,-15.578885017440147,36.03014826828451,40.81010717225854,36.25487312833759
"FF","2026-07-18","97.4","-2.66","6.05","Williams, Gavin",664040,668909,"strikeout","swinging_strike",,,,,11,"Brandon Lowe strikes out swinging.","R","L","R","CLE","PIT","S",2,,1,2,2026,"-0.9","1.3",-0.18870134228032964,3.7341762605901003,,,,0,6,"Top",,,,,,,8.745441703138136,-141.63601886942834,-3.6269250841146974,-13.996087725351975,30.33384015882212,-13.943427040117204,3.088361221,1.558612205,,,,"98.8",2255,"7",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.53",,0,"0",1,0,0,,39,4,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Infield shade","Standard",220,"0.018","-0.19","62.0","5.2","1.5419757",,"0.19",,-1,1,0.347,0.653,26,31,27,32,3,2,9,6,,0,"1.09","0.9","-0.9","33.4",4.54781076826729,27.98354777462418,25.237674509058518,34.714852733772794,18.337958773311172
"FF","2026-07-18","98.2","-2.68","6.02","Williams, Gavin",664040,668909,,"ball",,,,,11,,"R","L","R","CLE","PIT","B",,,0,2,2026,"-0.96","1.17",-0.3522335939684129,4.306034560079343,,,,0,6,"Top",,,,,,,8.595363925029602,-142.8408009956872,-1.8379184197013598,-14.999491325354573,30.00298086768345,-15.85487661696278,3.088361221,1.558612205,,,,"99.9",2258,"7",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.47",,,,,,,,39,3,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Infield shade","Standard",221,"-0.003","0.024",,,,,"-0.024",,-1,1,0.35,0.65,26,31,27,32,3,2,9,6,,0,"1.18","0.96","-0.96","32.6",,,,,
"ST","2026-07-18","84.6","-2.97","5.89","Williams, Gavin",664040,668909,,"called_strike",,,,,4,,"R","L","R","CLE","PIT","S",,,0,1,2026,"0.62","-0.44",-0.5811829900047725,2.045844363555323,,,,0,6,"Top",,,,,,,4.282525680486645,-123.23593444825238,-1.5474763908981473,5.515926097385775,23.16551623282248,-36.57022545384128,3.088361221,1.558612205,,,,"85.7",2401,"6.8",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.71",,,,,,,,39,2,"Sweeper",1,2,2,1,2,1,2,1,"Infield shade","Standard",56,"0.006","-0.056",,,,,"0.056",,-1,1,0.344,0.656,26,31,27,32,3,2,9,6,,0,"3.6","-0.62","0.62","30.2",,,,,
"SI","2026-07-18","95.4","-2.7","5.92","Williams, Gavin",664040,668909,,"called_strike",,,,,1,,"R","L","R","CLE","PIT","S",,,0,0,2026,"-1.28","0.59",-0.6685812657703187,2.709722690435794,,,,0,6,"Top",,,,,,,8.298251064237913,-138.8636467016267,-4.084847812758452,-18.26936404030114,25.606397325641336,-23.850563903625524,3.088361221,1.558612205,,,,"97.4",1863,"7",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.51",,,,,,,,39,1,"Sinker",1,2,2,1,2,1,2,1,"Standard","Standard",229,"0.004","-0.043",,,,,"0.043",,-1,1,0.34,0.6599999999999999,26,31,27,32,3,2,9,6,,0,"1.88","1.28","-1.28","31.4",,,,,
"SI","2026-07-18","96.7","-2.75","5.69","Williams, Gavin",663968,668909,"field_out","hit_into_play",,,,,8,"Jake Mangum lines out to left fielder Steven Kwan.","R","L","R","CLE","PIT","X",7,"line_drive",0,0,2026,"-1.18","0.76",0.26705983979452474,1.7004538577466912,,,694378,2,5,"Top",52.43,100.91,,,,,10.812154839066984,-140.38455208947437,-6.764793949127637,-17.800159332696605,26.865779823031424,-20.753326321976076,3.179634186,1.604675197,304,"97.8",19,"98.6",2047,"7.1",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.37",0.323,0.38,"0",1,0,0,4,34,1,"Sinker",1,2,2,1,2,1,2,1,"Standard","Standard",238,"0.024","-0.278","72.4","6.9",,0.593,"0.278","97.8",-1,1,0.391,0.609,26,30,27,30,3,2,9,6,,0,"1.66","1.18","-1.18","28.5",1.4942175663670019,13.191426389481972,40.44009424025966,35.75493500023207,16.840191316820608
"FF","2026-07-18","97.7","-2.62","5.72","Williams, Gavin",680779,668909,"strikeout","called_strike",,,,,3,"Henry Davis called out on strikes.","R","R","R","CLE","PIT","S",2,,0,2,2026,"-0.97","1.07",0.45996072421339784,3.291683214762052,,,694378,1,5,"Top",,,,,,,10.58744930604742,-142.06103825646017,-3.458937701412683,-15.424553446717013,28.806383498589636,-16.94854849803811,3.187532808,1.608661417,,,,"99.4",2208,"7",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.48",,0,"0",1,0,0,,33,3,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Standard","Standard",226,"0.019","-0.163",,,,,"0.163",,-1,1,0.372,0.628,26,26,27,27,2,1,9,6,,1,"1.3","0.97","0.97","30.1",,,,,
"CU","2026-07-18","81.9","-2.55","6.06","Williams, Gavin",680779,668909,,"foul",,,,,8,,"R","R","R","CLE","PIT","S",,,0,1,2026,"0.77","-1",-0.058821241272854374,2.072501019136072,,,694378,1,5,"Top",,,,,,,4.076361931261228,-119.31096219421406,-0.28381922227912915,6.63859547650963,21.669429335736442,-41.921445346705475,3.187532808,1.608661417,,,,"82.9",2581,"6.8",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.75",,,,,,,,33,2,"Curveball",1,2,2,1,2,1,2,1,"Standard","Standard",34,"0.007","-0.056","75.0","8.1",,,"0.056",,-1,1,0.365,0.635,26,26,27,27,2,1,9,6,,1,"4.38","-0.77","-0.77","36.9",18.11245717818365,-36.63488225816881,27.02039663963885,38.434979992429895,45.79562765853429
"CU","2026-07-18","80.7","-2.56","6.16","Williams, Gavin",680779,668909,,"called_strike",,,,,5,,"R","R","R","CLE","PIT","S",,,0,0,2026,"1.01","-1.17",-0.046343756338439235,2.5616676661677724,,,694378,1,5,"Top",,,,,,,3.5817910947995593,-117.45750591717169,1.2214742360983364,8.56923020367296,24.07585723412196,-43.45935726082575,3.187532808,1.608661417,,,,"81.2",2426,"6.8",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.66",,,,,,,,33,1,"Curveball",1,2,2,1,2,1,2,1,"Standard","Standard",35,"0.005","-0.041",,,,,"0.041",,-1,1,0.36,0.64,26,26,27,27,2,1,9,6,,1,"4.7","-1.01","-1.01","42.2",,,,,
"FF","2026-07-18","98.4","-2.73","5.67","Williams, Gavin",694378,668909,"single","hit_into_play",,,,,9,"Jacob Gonzalez singles on a sharp line drive to right fielder Chase DeLauter.","R","L","R","CLE","PIT","X",9,"line_drive",0,2,2026,"-0.97","1.01",0.8204588815394731,2.141165987593701,,,,1,5,"Top",180.77,108.24,,,,,11.925833509311039,-142.80641985168654,-6.3928065168141215,-15.798854158659918,29.600474418486368,-16.96656670114212,3.285826772,1.658267717,173,"102.9",10,"100",2245,"7.1",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.41",0.849,0.812,"0.9",1,1,0,4,32,4,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Strategic","Standard",226,"-0.033","0.519","69.4","6.8",,1.018,"-0.519","102.9",-1,1,0.393,0.607,26,24,27,24,2,1,9,6,,0,"1.33","0.97","-0.97","28.1",4.354736806469458,0.15288748670315191,35.71176313604919,28.99709809285931,29.41665855768267
"FF","2026-07-18","98","-2.72","5.79","Williams, Gavin",694378,668909,,"foul",,,,,11,,"R","L","R","CLE","PIT","S",,,0,2,2026,"-0.86","1.2",-0.12229993533583827,3.7853547825843643,,,,1,5,"Top",,,,,,,9.052056220624012,-142.58691825056297,-2.6659848557992705,-13.650804376553236,29.556404078114053,-15.334087845939205,3.285826772,1.658267717,170,"84.9",12,"99.6",2269,"7",824414,672275,700932,683953,672356,677587,680757,696135,800050,"53.52",,,,,,,,32,3,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Strategic","Standard",227,"0","0","65.3","5.9",,,"0","88.0",-1,1,0.393,0.607,26,24,27,24,2,1,9,6,,0,"1.16","0.86","-0.86","31.4",0.36655641943029516,15.06150396650733,18.03978376573037,39.35851726318785,21.023333027408306
